ID,Animal,Weight (kg),Lifespan (years),Diet,Habitat,Conservation Status
412,Aardwolf,185.0,25.0,Carnivore,Oceans,Endangered
413,African Wild Dog,11.0,65.0,Carnivore,Grasslands,Least Concern
414,Alligator,185.0,11.0,Piscivore,Wetlands,Vulnerable
415,African Lion,27.0,35.0,Insectivore,Grasslands,Vulnerable
416,Alligator,185.0,35.0,Piscivore,Grasslands,Vulnerable
417,Alligator,4350.0,25.0,Insectivore,Oceans,Vulnerable
418,Aardwolf,185.0,35.0,Insectivore,Wetlands,Endangered
419,African Elephant,4350.0,65.0,Herbivore,Savannah,Near Threatened
420,African Elephant,185.0,42.5,Piscivore,Savannahs,Endangered
421,Aardvark,11.0,65.0,Piscivore,Grasslands,Least Concern
422,African Elephant,185.0,42.5,Insectivore,Savannas,Near Threatened
423,Aardvark,11.5,11.0,Herbivore,Grasslands,Least Concern
424,African Wild Dog,27.0,11.0,Carnivore,Wetlands,Vulnerable
425,African Elephant,52.5,35.0,Piscivore,Savannas,Near Threatened
426,Alligator,11.5,12.0,Carnivore,Grasslands,Vulnerable
427,Albatross,4350.0,11.0,Insectivore,Savannahs,Least Concern
428,Aardwolf,27.0,25.0,Carnivore,Savannah,Least Concern
429,Albatross,27.0,11.0,Herbivore,Savannahs,Near Threatened
430,African Wild Dog,4350.0,11.0,Carnivore,Savannas,Least Concern
431,Albatross,27.0,11.0,Insectivore,Grasslands,Endangered
432,Aardvark,11.5,42.5,Insectivore,Savannah,Vulnerable
433,African Wild Dog,11.0,42.5,Insectivore,Grasslands,Vulnerable
434,African Elephant,52.5,11.0,Herbivore,Grasslands,Vulnerable
435,African Elephant,27.0,65.0,Insectivore,Savannas,Vulnerable
436,Alligator,52.5,25.0,Carnivore,Grasslands,Vulnerable
437,African Wild Dog,4350.0,11.0,Insectivore,Savannahs,Endangered
438,African Elephant,185.0,25.0,Herbivore,Oceans,Least Concern
439,African Lion,11.5,11.0,Carnivore,Wetlands,Least Concern
440,Aardvark,185.0,25.0,Piscivore,Savannas,Least Concern
441,Aardvark,11.0,25.0,Carnivore,Savannah,Vulnerable
442,African Wild Dog,185.0,35.0,Carnivore,Savannah,Least Concern
443,Aardvark,325.0,12.0,Carnivore,Savannah,Least Concern
444,African Lion,185.0,35.0,Insectivore,Savannas,Least Concern
445,Aardwolf,185.0,25.0,Carnivore,Savannas,Least Concern
446,Aardvark,4350.0,11.0,Piscivore,Oceans,Near Threatened
447,African Lion,4350.0,11.0,Carnivore,Oceans,Least Concern
448,African Lion,27.0,35.0,Piscivore,Oceans,Vulnerable
449,African Wild Dog,27.0,42.5,Carnivore,Wetlands,Vulnerable
450,Aardvark,52.5,42.5,Carnivore,Grasslands,Least Concern
451,Aardvark,11.5,11.0,Insectivore,Savannas,Least Concern
452,Aardwolf,27.0,42.5,Insectivore,Savannas,Vulnerable
453,Aardwolf,185.0,35.0,Insectivore,Grasslands,Least Concern
454,African Wild Dog,11.5,25.0,Insectivore,Grasslands,Endangered
455,African Elephant,11.5,25.0,Herbivore,Wetlands,Vulnerable
456,Aardvark,11.0,12.0,Piscivore,Wetlands,Vulnerable
457,Albatross,52.5,12.0,Carnivore,Savannas,Near Threatened
458,African Lion,185.0,11.0,Herbivore,Savannas,Vulnerable
459,African Wild Dog,27.0,12.0,Insectivore,Grasslands,Least Concern
460,African Lion,27.0,35.0,Insectivore,Savannah,Least Concern
461,Alligator,52.5,25.0,Piscivore,Grasslands,Endangered
462,African Wild Dog,27.0,11.0,Carnivore,Savannas,Vulnerable
463,Alligator,11.0,11.0,Piscivore,Grasslands,Near Threatened
464,African Wild Dog,4350.0,12.0,Carnivore,Grasslands,Least Concern
465,Aardvark,11.0,12.0,Carnivore,Grasslands,Near Threatened
466,Albatross,11.0,42.5,Insectivore,Wetlands,Endangered
467,African Elephant,185.0,11.0,Herbivore,Grasslands,Near Threatened
468,African Lion,4350.0,11.0,Piscivore,Grasslands,Endangered
469,African Lion,325.0,12.0,Carnivore,Grasslands,Vulnerable
470,African Lion,325.0,42.5,Herbivore,Savannah,Vulnerable
471,African Elephant,185.0,12.0,Carnivore,Grasslands,Least Concern
472,African Lion,27.0,25.0,Carnivore,Grasslands,Near Threatened
473,Aardwolf,11.0,42.5,Insectivore,Savannahs,Least Concern
474,African Wild Dog,325.0,11.0,Piscivore,Wetlands,Vulnerable
475,African Lion,27.0,11.0,Insectivore,Savannas,Vulnerable
476,Alligator,185.0,11.0,Insectivore,Grasslands,Least Concern
477,Albatross,27.0,11.0,Carnivore,Grasslands,Vulnerable
478,African Wild Dog,325.0,11.0,Insectivore,Wetlands,Least Concern
479,African Lion,4350.0,12.0,Carnivore,Wetlands,Near Threatened
480,African Elephant,4350.0,42.5,Insectivore,Oceans,Vulnerable
481,Albatross,185.0,42.5,Herbivore,Savannah,Least Concern
482,African Wild Dog,11.5,12.0,Carnivore,Savannah,Near Threatened
483,African Lion,4350.0,11.0,Carnivore,Grasslands,Vulnerable
484,African Elephant,325.0,42.5,Insectivore,Grasslands,Least Concern
485,African Elephant,4350.0,42.5,Herbivore,Wetlands,Least Concern
486,African Elephant,52.5,12.0,Herbivore,Oceans,Near Threatened
487,Aardwolf,27.0,65.0,Piscivore,Savannah,Least Concern
488,Aardvark,27.0,65.0,Herbivore,Savannah,Least Concern
489,Alligator,185.0,65.0,Piscivore,Savannahs,Near Threatened
490,Aardwolf,325.0,42.5,Insectivore,Oceans,Endangered
491,African Lion,52.5,35.0,Carnivore,Oceans,Least Concern
492,African Elephant,325.0,11.0,Herbivore,Savannah,Vulnerable
493,African Wild Dog,185.0,11.0,Carnivore,Grasslands,Vulnerable
494,Albatross,325.0,25.0,Piscivore,Wetlands,Vulnerable
495,African Elephant,52.5,11.0,Carnivore,Grasslands,Endangered
496,Aardvark,325.0,11.0,Carnivore,Grasslands,Vulnerable
497,Aardvark,11.0,35.0,Herbivore,Wetlands,Least Concern
498,African Elephant,325.0,12.0,Carnivore,Grasslands,Endangered
499,Alligator,11.0,11.0,Insectivore,Savannah,Vulnerable
500,African Wild Dog,4350.0,12.0,Insectivore,Savannas,Near Threatened
501,African Elephant,11.5,11.0,Carnivore,Savannah,Endangered
502,Aardwolf,185.0,65.0,Piscivore,Wetlands,Vulnerable
503,African Wild Dog,4350.0,65.0,Herbivore,Oceans,Vulnerable
504,African Wild Dog,4350.0,65.0,Carnivore,Savannahs,Least Concern
505,African Elephant,11.0,35.0,Piscivore,Savannas,Endangered
506,Albatross,185.0,42.5,Carnivore,Grasslands,Least Concern
507,Aardwolf,52.5,11.0,Carnivore,Grasslands,Endangered
508,Aardwolf,185.0,25.0,Carnivore,Grasslands,Near Threatened
509,Alligator,11.0,65.0,Carnivore,Wetlands,Least Concern
510,African Wild Dog,185.0,11.0,Carnivore,Oceans,Least Concern
511,African Wild Dog,52.5,25.0,Carnivore,Savannahs,Least Concern
512,Aardvark,11.0,25.0,Herbivore,Savannahs,Least Concern
513,Albatross,4350.0,35.0,Insectivore,Grasslands,Vulnerable
514,African Wild Dog,11.5,42.5,Piscivore,Savannahs,Least Concern
515,African Wild Dog,4350.0,12.0,Insectivore,Grasslands,Least Concern
516,African Lion,27.0,12.0,Carnivore,Savannas,Near Threatened
517,African Wild Dog,11.5,65.0,Carnivore,Grasslands,Vulnerable
518,Albatross,185.0,42.5,Carnivore,Grasslands,Near Threatened
519,Aardvark,185.0,12.0,Insectivore,Savannas,Vulnerable
520,African Lion,4350.0,35.0,Carnivore,Savannas,Vulnerable
521,Aardvark,52.5,12.0,Carnivore,Grasslands,Least Concern
522,Alligator,11.5,35.0,Carnivore,Oceans,Least Concern
523,Aardvark,11.0,11.0,Herbivore,Savannahs,Endangered
524,Albatross,11.0,65.0,Herbivore,Savannah,Least Concern
525,Alligator,52.5,35.0,Carnivore,Savannah,Near Threatened
526,Aardvark,52.5,25.0,Insectivore,Savannah,Vulnerable
527,African Elephant,11.0,11.0,Carnivore,Savannas,Vulnerable
528,African Lion,325.0,12.0,Piscivore,Savannas,Least Concern
529,African Wild Dog,27.0,11.0,Insectivore,Oceans,Near Threatened
530,African Lion,11.5,11.0,Carnivore,Savannah,Least Concern
531,African Lion,27.0,65.0,Insectivore,Grasslands,Vulnerable
532,Aardwolf,325.0,42.5,Insectivore,Grasslands,Endangered
533,African Wild Dog,52.5,35.0,Carnivore,Savannahs,Least Concern
534,African Wild Dog,11.5,11.0,Herbivore,Grasslands,Least Concern
535,Alligator,185.0,42.5,Insectivore,Savannah,Endangered
536,African Wild Dog,325.0,35.0,Insectivore,Savannah,Least Concern
537,African Elephant,52.5,11.0,Carnivore,Savannas,Least Concern
538,Alligator,11.0,65.0,Carnivore,Wetlands,Vulnerable
539,African Elephant,185.0,12.0,Carnivore,Savannas,Least Concern
540,African Elephant,4350.0,12.0,Piscivore,Oceans,Least Concern
541,African Lion,11.5,11.0,Piscivore,Savannahs,Least Concern
542,Aardvark,52.5,42.5,Carnivore,Wetlands,Near Threatened
543,African Elephant,185.0,12.0,Insectivore,Savannas,Vulnerable
544,Aardwolf,325.0,11.0,Carnivore,Savannas,Vulnerable
545,Aardwolf,52.5,25.0,Herbivore,Savannah,Near Threatened
546,Aardvark,52.5,35.0,Insectivore,Wetlands,Near Threatened
547,African Wild Dog,11.5,35.0,Carnivore,Wetlands,Near Threatened
548,African Elephant,27.0,25.0,Piscivore,Grasslands,Least Concern
549,African Lion,185.0,11.0,Piscivore,Savannah,Vulnerable
550,Aardwolf,325.0,11.0,Carnivore,Savannah,Endangered
551,Albatross,11.5,25.0,Insectivore,Oceans,Near Threatened
552,African Elephant,4350.0,65.0,Insectivore,Savannas,Endangered
553,Aardwolf,11.5,35.0,Carnivore,Savannah,Least Concern
554,Alligator,325.0,11.0,Insectivore,Savannas,Least Concern
555,Aardwolf,11.0,12.0,Carnivore,Wetlands,Vulnerable
556,African Wild Dog,11.5,25.0,Carnivore,Grasslands,Endangered
557,African Wild Dog,185.0,35.0,Carnivore,Savannahs,Least Concern
558,African Lion,325.0,12.0,Carnivore,Savannahs,Endangered
559,African Lion,11.0,35.0,Carnivore,Savannahs,Least Concern
560,African Lion,325.0,25.0,Carnivore,Oceans,Vulnerable
561,African Wild Dog,11.0,25.0,Carnivore,Wetlands,Least Concern
562,Aardvark,4350.0,35.0,Piscivore,Grasslands,Least Concern
563,African Wild Dog,27.0,35.0,Carnivore,Oceans,Least Concern
564,African Wild Dog,4350.0,11.0,Carnivore,Savannahs,Vulnerable
565,Albatross,4350.0,35.0,Insectivore,Savannahs,Vulnerable
566,Aardwolf,4350.0,35.0,Insectivore,Oceans,Least Concern
567,Aardvark,27.0,65.0,Carnivore,Savannas,Vulnerable
568,African Wild Dog,11.0,11.0,Herbivore,Oceans,Least Concern
569,Aardvark,11.5,35.0,Carnivore,Grasslands,Least Concern
570,Aardwolf,11.0,42.5,Herbivore,Savannahs,Endangered
571,African Elephant,11.5,25.0,Insectivore,Grasslands,Least Concern
572,Aardwolf,11.5,11.0,Insectivore,Wetlands,Endangered
573,African Elephant,185.0,65.0,Carnivore,Grasslands,Near Threatened
574,African Wild Dog,27.0,42.5,Carnivore,Oceans,Least Concern
575,Aardwolf,11.0,11.0,Insectivore,Savannah,Least Concern
576,Aardvark,27.0,25.0,Carnivore,Wetlands,Endangered
577,African Lion,11.5,65.0,Insectivore,Savannah,Least Concern
578,African Lion,185.0,11.0,Herbivore,Savannahs,Endangered
579,African Wild Dog,52.5,12.0,Insectivore,Oceans,Least Concern
580,African Elephant,11.0,11.0,Carnivore,Oceans,Least Concern
581,African Wild Dog,27.0,35.0,Insectivore,Savannahs,Least Concern
582,Aardwolf,52.5,35.0,Carnivore,Savannah,Least Concern
583,Alligator,52.5,42.5,Piscivore,Wetlands,Least Concern
584,African Wild Dog,325.0,12.0,Carnivore,Savannah,Least Concern
585,Aardwolf,4350.0,35.0,Carnivore,Wetlands,Vulnerable
586,African Wild Dog,185.0,11.0,Carnivore,Grasslands,Least Concern
587,African Lion,52.5,42.5,Carnivore,Wetlands,Least Concern
588,African Lion,11.0,35.0,Carnivore,Oceans,Least Concern
589,Alligator,4350.0,12.0,Carnivore,Oceans,Vulnerable
590,African Lion,52.5,11.0,Carnivore,Oceans,Vulnerable
591,Aardwolf,185.0,11.0,Herbivore,Savannas,Endangered
592,African Lion,185.0,12.0,Herbivore,Oceans,Least Concern
593,Aardwolf,325.0,65.0,Insectivore,Grasslands,Least Concern
594,Aardvark,325.0,35.0,Insectivore,Savannas,Endangered
595,Aardvark,4350.0,12.0,Carnivore,Oceans,Least Concern
596,Aardwolf,27.0,42.5,Piscivore,Savannah,Near Threatened
597,Alligator,52.5,42.5,Carnivore,Savannah,Vulnerable
598,African Elephant,11.0,65.0,Carnivore,Wetlands,Least Concern
599,Aardwolf,11.0,11.0,Carnivore,Savannas,Least Concern
600,Albatross,11.5,42.5,Carnivore,Oceans,Vulnerable
601,African Wild Dog,325.0,12.0,Carnivore,Savannas,Vulnerable
602,African Wild Dog,185.0,42.5,Carnivore,Grasslands,Vulnerable
603,African Elephant,4350.0,65.0,Herbivore,Grasslands,Least Concern
604,African Wild Dog,185.0,25.0,Insectivore,Wetlands,Vulnerable
605,African Wild Dog,11.5,12.0,Piscivore,Savannah,Vulnerable
606,African Elephant,185.0,12.0,Insectivore,Oceans,Least Concern
607,African Wild Dog,11.0,65.0,Herbivore,Wetlands,Vulnerable
608,Aardwolf,11.5,65.0,Herbivore,Savannahs,Vulnerable
609,African Elephant,27.0,35.0,Insectivore,Grasslands,Near Threatened
610,Albatross,4350.0,42.5,Insectivore,Grasslands,Near Threatened
611,Albatross,11.0,42.5,Carnivore,Savannah,Vulnerable
612,Aardvark,185.0,25.0,Insectivore,Grasslands,Least Concern
613,Alligator,52.5,11.0,Carnivore,Oceans,Least Concern
614,Aardwolf,52.5,35.0,Herbivore,Savannahs,Vulnerable
615,Alligator,27.0,42.5,Herbivore,Grasslands,Least Concern
616,African Wild Dog,52.5,11.0,Herbivore,Wetlands,Endangered
617,African Lion,325.0,35.0,Insectivore,Savannahs,Least Concern
618,Aardwolf,11.0,65.0,Insectivore,Savannah,Endangered
619,African Elephant,11.0,11.0,Piscivore,Savannas,Least Concern
620,Alligator,11.5,42.5,Carnivore,Grasslands,Least Concern
621,African Elephant,27.0,25.0,Carnivore,Grasslands,Vulnerable
622,Albatross,52.5,11.0,Carnivore,Savannas,Vulnerable
623,African Wild Dog,27.0,65.0,Carnivore,Savannas,Endangered
624,African Elephant,185.0,12.0,Insectivore,Savannah,Least Concern
625,Aardvark,4350.0,11.0,Herbivore,Oceans,Near Threatened
626,African Elephant,11.5,25.0,Insectivore,Savannas,Endangered
627,Alligator,27.0,42.5,Insectivore,Grasslands,Least Concern
628,Alligator,11.0,25.0,Carnivore,Grasslands,Least Concern
629,African Lion,11.0,65.0,Insectivore,Savannas,Near Threatened
630,African Lion,185.0,12.0,Carnivore,Grasslands,Least Concern
631,Albatross,11.0,11.0,Carnivore,Savannahs,Least Concern
632,Alligator,185.0,35.0,Piscivore,Grasslands,Near Threatened
633,Aardvark,52.5,11.0,Carnivore,Grasslands,Vulnerable
634,African Elephant,11.5,11.0,Herbivore,Oceans,Vulnerable
635,Aardvark,11.0,35.0,Carnivore,Oceans,Vulnerable
636,Aardvark,11.0,65.0,Piscivore,Oceans,Least Concern
637,Alligator,11.0,65.0,Insectivore,Savannah,Vulnerable
638,Albatross,185.0,11.0,Carnivore,Savannas,Vulnerable
639,Albatross,11.5,65.0,Carnivore,Savannas,Least Concern
640,African Elephant,4350.0,12.0,Piscivore,Wetlands,Least Concern
641,African Wild Dog,185.0,42.5,Carnivore,Savannahs,Least Concern
642,Aardvark,11.0,11.0,Carnivore,Savannas,Least Concern
643,Aardvark,11.5,11.0,Carnivore,Wetlands,Vulnerable
644,Aardvark,27.0,11.0,Herbivore,Grasslands,Near Threatened
645,African Wild Dog,4350.0,12.0,Piscivore,Oceans,Least Concern
646,African Elephant,185.0,25.0,Carnivore,Oceans,Least Concern
647,Aardvark,11.0,35.0,Carnivore,Oceans,Least Concern
648,African Elephant,11.5,11.0,Herbivore,Savannahs,Vulnerable
649,Albatross,185.0,35.0,Piscivore,Savannah,Near Threatened
650,Alligator,11.0,11.0,Piscivore,Grasslands,Least Concern
651,Aardwolf,11.0,11.0,Insectivore,Grasslands,Least Concern
652,Aardwolf,325.0,25.0,Carnivore,Grasslands,Least Concern
653,African Elephant,27.0,25.0,Carnivore,Savannas,Vulnerable
654,Alligator,27.0,11.0,Carnivore,Grasslands,Least Concern
655,Alligator,52.5,65.0,Insectivore,Wetlands,Least Concern
656,African Elephant,4350.0,25.0,Insectivore,Grasslands,Least Concern
657,Aardwolf,11.5,35.0,Herbivore,Savannahs,Near Threatened
658,Alligator,27.0,25.0,Carnivore,Wetlands,Endangered
659,African Elephant,27.0,12.0,Carnivore,Savannah,Least Concern
660,African Elephant,185.0,11.0,Insectivore,Grasslands,Vulnerable
661,African Elephant,185.0,35.0,Insectivore,Wetlands,Least Concern
662,Aardvark,11.5,42.5,Herbivore,Savannas,Endangered
663,Albatross,52.5,12.0,Herbivore,Wetlands,Vulnerable
664,Aardvark,11.0,65.0,Insectivore,Savannahs,Least Concern
665,Albatross,11.0,25.0,Piscivore,Grasslands,Vulnerable
666,African Wild Dog,27.0,35.0,Herbivore,Wetlands,Near Threatened
667,Aardvark,11.5,25.0,Herbivore,Savannas,Near Threatened
668,African Elephant,325.0,65.0,Carnivore,Savannah,Vulnerable
669,Albatross,11.5,35.0,Carnivore,Oceans,Least Concern
670,African Wild Dog,325.0,65.0,Carnivore,Savannahs,Least Concern
671,Alligator,325.0,65.0,Insectivore,Grasslands,Near Threatened
672,Alligator,11.0,65.0,Piscivore,Savannah,Least Concern
673,African Lion,11.5,42.5,Insectivore,Savannah,Vulnerable
674,African Wild Dog,4350.0,35.0,Herbivore,Savannahs,Least Concern
675,Alligator,4350.0,42.5,Carnivore,Grasslands,Near Threatened
676,Aardwolf,27.0,11.0,Carnivore,Wetlands,Vulnerable
677,African Wild Dog,52.5,65.0,Carnivore,Grasslands,Endangered
678,Albatross,11.0,65.0,Carnivore,Grasslands,Least Concern
679,Aardwolf,52.5,25.0,Insectivore,Savannahs,Vulnerable
680,Alligator,52.5,11.0,Insectivore,Savannas,Vulnerable
681,Aardwolf,4350.0,12.0,Carnivore,Savannahs,Endangered
682,Aardvark,185.0,12.0,Insectivore,Grasslands,Near Threatened
683,African Lion,11.5,11.0,Insectivore,Grasslands,Least Concern
684,Aardvark,11.0,42.5,Herbivore,Savannahs,Least Concern
685,African Lion,11.5,25.0,Carnivore,Oceans,Near Threatened
686,Alligator,27.0,65.0,Carnivore,Savannahs,Least Concern
687,African Wild Dog,11.5,11.0,Piscivore,Grasslands,Least Concern
688,African Elephant,11.0,11.0,Insectivore,Savannahs,Vulnerable
689,Aardvark,11.0,35.0,Insectivore,Savannah,Least Concern
690,Aardwolf,27.0,35.0,Insectivore,Savannah,Vulnerable
691,African Lion,185.0,12.0,Carnivore,Oceans,Vulnerable
692,Alligator,11.0,42.5,Carnivore,Savannah,Endangered
693,African Wild Dog,52.5,11.0,Insectivore,Savannah,Near Threatened
694,Aardvark,52.5,35.0,Piscivore,Savannah,Vulnerable
695,African Elephant,185.0,42.5,Carnivore,Savannas,Least Concern
696,Aardwolf,11.0,11.0,Herbivore,Wetlands,Least Concern
697,Alligator,11.0,11.0,Carnivore,Wetlands,Vulnerable
698,Albatross,27.0,42.5,Insectivore,Wetlands,Least Concern
699,African Lion,52.5,11.0,Carnivore,Grasslands,Least Concern
700,African Elephant,185.0,11.0,Herbivore,Savannahs,Least Concern
701,African Elephant,4350.0,12.0,Carnivore,Grasslands,Least Concern
702,Alligator,11.5,25.0,Carnivore,Grasslands,Endangered
703,African Wild Dog,27.0,25.0,Insectivore,Wetlands,Vulnerable
704,Aardvark,4350.0,11.0,Carnivore,Oceans,Endangered
705,Albatross,11.0,12.0,Carnivore,Grasslands,Endangered
706,African Lion,52.5,11.0,Piscivore,Grasslands,Near Threatened
707,Aardvark,11.0,11.0,Carnivore,Savannas,Vulnerable
708,Aardwolf,4350.0,11.0,Herbivore,Grasslands,Near Threatened
709,African Lion,11.5,65.0,Carnivore,Savannah,Vulnerable
710,African Wild Dog,325.0,35.0,Carnivore,Savannah,Vulnerable
711,Albatross,325.0,12.0,Carnivore,Grasslands,Least Concern
712,Albatross,185.0,25.0,Carnivore,Oceans,Least Concern
713,Aardwolf,11.0,12.0,Insectivore,Grasslands,Near Threatened
714,Aardwolf,52.5,12.0,Insectivore,Oceans,Vulnerable
715,Aardvark,11.5,65.0,Piscivore,Grasslands,Least Concern
716,African Wild Dog,4350.0,65.0,Carnivore,Grasslands,Least Concern
717,African Wild Dog,325.0,65.0,Herbivore,Grasslands,Vulnerable
718,Aardvark,11.0,42.5,Piscivore,Grasslands,Least Concern
719,Alligator,11.0,35.0,Carnivore,Savannah,Vulnerable
720,African Wild Dog,52.5,25.0,Insectivore,Savannas,Least Concern
721,Alligator,4350.0,42.5,Carnivore,Grasslands,Vulnerable
722,Alligator,11.5,25.0,Insectivore,Savannahs,Least Concern
723,African Elephant,52.5,42.5,Piscivore,Grasslands,Vulnerable
724,African Elephant,4350.0,42.5,Carnivore,Oceans,Near Threatened
725,Aardwolf,4350.0,11.0,Insectivore,Savannahs,Least Concern
726,Albatross,11.0,42.5,Carnivore,Savannah,Near Threatened
727,Alligator,185.0,11.0,Insectivore,Wetlands,Vulnerable
728,Alligator,27.0,65.0,Carnivore,Wetlands,Least Concern
729,African Lion,27.0,35.0,Insectivore,Grasslands,Least Concern
730,African Elephant,325.0,11.0,Insectivore,Savannahs,Near Threatened
731,Alligator,27.0,11.0,Herbivore,Savannah,Near Threatened
732,Alligator,27.0,11.0,Carnivore,Savannah,Least Concern
733,African Wild Dog,52.5,12.0,Insectivore,Oceans,Vulnerable
734,African Lion,27.0,12.0,Insectivore,Grasslands,Near Threatened
735,Albatross,52.5,42.5,Insectivore,Savannah,Least Concern
736,Aardwolf,11.0,42.5,Insectivore,Oceans,Endangered
737,Alligator,325.0,11.0,Carnivore,Grasslands,Least Concern
738,African Wild Dog,11.0,35.0,Carnivore,Oceans,Least Concern
739,Aardwolf,27.0,35.0,Insectivore,Oceans,Endangered
740,African Lion,185.0,35.0,Herbivore,Wetlands,Least Concern
741,African Lion,4350.0,11.0,Herbivore,Savannahs,Vulnerable
742,Aardvark,4350.0,12.0,Insectivore,Savannahs,Least Concern
743,Alligator,11.5,11.0,Carnivore,Wetlands,Endangered
744,African Lion,11.0,65.0,Carnivore,Wetlands,Near Threatened
745,African Wild Dog,11.5,12.0,Insectivore,Grasslands,Near Threatened
746,Aardvark,325.0,42.5,Herbivore,Savannas,Vulnerable
747,Albatross,52.5,65.0,Carnivore,Savannas,Near Threatened
748,Albatross,11.5,11.0,Insectivore,Savannah,Endangered
749,African Wild Dog,52.5,42.5,Carnivore,Savannahs,Least Concern
750,Aardvark,11.0,25.0,Insectivore,Savannas,Endangered
751,Alligator,11.0,11.0,Carnivore,Savannah,Near Threatened
752,Aardwolf,4350.0,25.0,Herbivore,Grasslands,Least Concern
753,Aardvark,11.5,35.0,Herbivore,Oceans,Near Threatened
754,Albatross,185.0,25.0,Carnivore,Savannahs,Vulnerable
755,Aardvark,4350.0,11.0,Carnivore,Oceans,Vulnerable
756,African Elephant,185.0,65.0,Herbivore,Oceans,Least Concern
757,African Elephant,185.0,42.5,Insectivore,Wetlands,Near Threatened
758,Aardvark,4350.0,11.0,Carnivore,Savannas,Least Concern
759,Aardwolf,325.0,35.0,Carnivore,Savannas,Vulnerable
760,African Elephant,27.0,11.0,Piscivore,Savannahs,Least Concern
761,Albatross,27.0,35.0,Carnivore,Grasslands,Least Concern
762,Aardvark,4350.0,25.0,Carnivore,Savannahs,Vulnerable
763,African Lion,325.0,12.0,Carnivore,Savannahs,Vulnerable
764,Albatross,4350.0,35.0,Insectivore,Savannas,Vulnerable
765,Alligator,185.0,25.0,Carnivore,Wetlands,Least Concern
766,African Wild Dog,185.0,11.0,Carnivore,Oceans,Near Threatened
767,African Wild Dog,185.0,35.0,Carnivore,Savannahs,Endangered
768,African Elephant,52.5,42.5,Insectivore,Wetlands,Least Concern
769,African Elephant,4350.0,25.0,Piscivore,Oceans,Vulnerable
770,African Wild Dog,27.0,11.0,Carnivore,Oceans,Near Threatened
771,Aardvark,4350.0,42.5,Insectivore,Grasslands,Endangered
772,Aardwolf,185.0,25.0,Piscivore,Wetlands,Least Concern
773,African Wild Dog,11.5,11.0,Carnivore,Grasslands,Endangered
774,Albatross,325.0,42.5,Carnivore,Wetlands,Vulnerable
775,African Elephant,185.0,11.0,Carnivore,Oceans,Vulnerable
776,Albatross,325.0,11.0,Carnivore,Grasslands,Least Concern
777,Alligator,52.5,35.0,Carnivore,Oceans,Near Threatened
778,Aardvark,52.5,65.0,Carnivore,Savannas,Near Threatened
779,African Elephant,11.5,35.0,Insectivore,Savannahs,Endangered
780,Aardwolf,52.5,25.0,Carnivore,Savannas,Least Concern
781,Aardwolf,11.0,42.5,Piscivore,Savannahs,Least Concern
782,Aardwolf,185.0,12.0,Carnivore,Wetlands,Least Concern
783,Albatross,4350.0,35.0,Carnivore,Savannas,Vulnerable
784,Albatross,27.0,25.0,Herbivore,Grasslands,Near Threatened
785,Aardwolf,27.0,25.0,Insectivore,Grasslands,Least Concern
786,Aardwolf,185.0,65.0,Herbivore,Savannah,Least Concern
787,African Lion,52.5,11.0,Carnivore,Savannas,Least Concern
788,Aardwolf,52.5,11.0,Carnivore,Grasslands,Least Concern
789,African Elephant,52.5,12.0,Herbivore,Savannahs,Least Concern
790,Albatross,11.0,11.0,Insectivore,Savannah,Least Concern
791,Albatross,325.0,25.0,Carnivore,Grasslands,Endangered
792,African Lion,11.0,25.0,Insectivore,Wetlands,Vulnerable
793,African Lion,27.0,42.5,Carnivore,Grasslands,Least Concern
794,African Elephant,325.0,11.0,Herbivore,Grasslands,Vulnerable
795,Aardvark,11.5,65.0,Piscivore,Oceans,Vulnerable
796,African Lion,185.0,35.0,Insectivore,Oceans,Endangered
797,African Elephant,325.0,11.0,Carnivore,Wetlands,Least Concern
798,Alligator,4350.0,25.0,Carnivore,Savannas,Near Threatened
799,African Elephant,185.0,12.0,Carnivore,Savannahs,Endangered
800,African Elephant,4350.0,12.0,Insectivore,Grasslands,Vulnerable
801,African Elephant,185.0,42.5,Piscivore,Savannah,Least Concern
802,African Elephant,325.0,42.5,Carnivore,Savannahs,Least Concern
803,African Elephant,27.0,11.0,Insectivore,Savannah,Least Concern
804,African Elephant,4350.0,65.0,Insectivore,Wetlands,Vulnerable
805,Albatross,11.0,11.0,Carnivore,Savannah,Least Concern
806,Aardwolf,27.0,11.0,Herbivore,Wetlands,Least Concern
807,Albatross,4350.0,65.0,Carnivore,Savannas,Least Concern
808,African Lion,325.0,11.0,Piscivore,Savannahs,Least Concern
809,African Wild Dog,4350.0,65.0,Piscivore,Grasslands,Least Concern
810,African Elephant,27.0,42.5,Carnivore,Savannah,Endangered
811,African Elephant,27.0,65.0,Piscivore,Oceans,Least Concern
812,Alligator,11.0,65.0,Insectivore,Savannas,Least Concern
813,Aardvark,27.0,65.0,Piscivore,Savannah,Least Concern
